uai;uo_lib;sigle;type_d_etablissement;secteur_d_etablissement;url;coordonnees;element_wikidata;rattachement;rattachement_identifiants;dernier_decret_legifrance;localisation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;numero_telephone_uai;siret;identifiant_eter;identifiant_freebase;statut_juridique_court;statut_juridique_long;qualification_court;qualification_long;compte_facebook;compte_twitter;compte_flickr;flux_rss;compte_linkedin;compte_pinterest;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_viadeo;compte_dailymotion;compte_vimeo;compte_youtube;compte_googleplus;autres;mooc;statut_operateur_lolf;libelle_mission_chef_de_file;identifiant_programme_lolf_chef_de_file;libelle_programme_lolf_chef_de_file;identifiants_autres_programmes_lolf;libelles_autres_programmes_lolf;association;association_identifiants
9760358K;Centre Universitaire de Mayotte;CU de Mayotte;Autre établissement;Public;http://www.univ-mayotte.fr/;-12.845431, 45.187189;http://www.wikidata.org/entity/Q2946102;;;;Mayotte>Dembeni;97607;Dembeni;UU9F301;Dembeni;D976;Mayotte;A43;Mayotte;R06;Mayotte;;ROUTE NATIONALE 3;;53;97660;DEMBENI;;;;;;EPA;Établissement public à caractère administratif;;;;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0753364Z;Institut d'administration des entreprises de Paris;IAE de Paris;Autre établissement;Public;http://www.iae-paris.com/;48.8384, 2.34851;http://www.wikidata.org/entity/Q3151899;Université Paris 1 - Panthéon Sorbonne;0751717J;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;21 RUE BROCA;;;75005;PARIS;;0153552800;;;http://www.freebase.com/m/05p8cpk;EPA;Établissement public à caractère administratif;;;https://www.facebook.com/iaeparis;https://twitter.com/iaeparis;https://www.flickr.com/photos/iae-paris/;;https://www.linkedin.com/company/iaeparis;;;;;;;;;https://www.youtube.com/user/iaeparis;https://plus.google.com/+iaeparis;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0692566P;École nationale des travaux publics de l'État;ENTPE;École extérieure relevant d'un autre département ministériel;Public;http://www.entpe.fr/;45.7793, 4.92245;http://www.wikidata.org/entity/Q3578157;;;http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000644863&fastPos=1&fastReqId=1097770668&oldAction=rechExpTexteJorf;Rhône-Alpes>Lyon>Rhône>Vaulx-en-Velin;69256;Vaulx-en-Velin;UU00758;Lyon;D069;Rhône;A10;Lyon;R82;Rhône-Alpes;;3 RUE MAURICE AUDIN;;;69518;VAULX EN VELIN CEDEX;;0472047070;16000005500014;FR0163;http://www.freebase.com/m/0gmfcyw;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;;;http://www.entpe.fr/internet/outils_transversaux/flux_rss;;;;;;;;;;;;;;Opérateurs LOLF Hors MIRES 2014;Écologie, développement et aménagement durables;217;Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer;;;;
0751794T;École française d'Extrême-Orient;EFEO;École française à l'étranger;Public;http://www.efeo.fr/;48.8645, 2.29221;http://www.wikidata.org/entity/Q273559;;;;Île-de-France>Paris>Paris>Paris 16e;75116;Paris 16e;SO;SO;D075;Paris;A01;Paris;R11;Île-de-France;;22 AVENUE DU PRESIDENT WILSON;;;75116;PARIS;;0153701820;;;http://www.freebase.com/m/02kp4k;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0951376E;École nationale supérieure de l'électronique et de ses applications de Cergy;ENSEA;Écoles habilitées à délivrer un diplôme d'ingénieur;Public;http://www.ensea.fr/;49.0391, 2.071;http://www.wikidata.org/entity/Q2707341;;;;Île-de-France>Versailles>Val-d'Oise>Cergy;95127;Cergy;UU00851;Paris;D095;Val-d'Oise;A25;Versailles;R11;Île-de-France;;6 AVENUE DU PONCEAU;;;95014;CERGY PONTOISE CEDEX;;0130736220;19951376300011;FR0273;http://www.freebase.com/m/0b_0ys;EPA;Établissement public à caractère administratif;;;https://www.facebook.com/pages/Ensea/136481359731543;;;http://www.ensea.fr/fr/rss.xml;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0870862P;École nationale supérieure de céramique industrielle de Limoges;ENSCI Limoges;Écoles nationales supérieures d'ingénieurs;Public;http://www.ensci.fr/;45.8367, 1.24195;http://www.wikidata.org/entity/Q3578225;Université de Limoges;0870669E;;Limousin>Haute-Vienne>Limoges;87085;Limoges;UU87601;Limoges;D087;Haute-Vienne;A22;Limoges;R74;Limousin;;73 AV ALBERT THOMAS;;;87068;LIMOGES CEDEX 3;;0555452222;19870862000010;FR0241;;EPA;Établissement public à caractère administratif;;;https://www.facebook.com/ENSCI.LIMOGES;https://twitter.com/ENSCI_Limoges;;http://www.ensci.fr/?feed=rss;;;;;;;;;;https://www.youtube.com/channel/UCvjtUlX8Z8Nz6-_nnVBQmnw;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0860073M;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;ISAE-ENSMA;Écoles nationales supérieures d'ingénieurs;Public;http://www.ensma.fr/;46.661, 0.362013;http://www.wikidata.org/entity/Q391044;Université de Poitiers;0860856N;;Poitou-Charentes>Vienne>Chasseneuil-du-Poitou;86062;Chasseneuil-du-Poitou;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R54;Poitou-Charentes;;1 AVENUE CLEMENT ADER TELEPORT 2;;40109;86961;CHASSENEUIL CEDEX;;0549498080;19860073600021;FR0238;http://www.freebase.com/m/026rjwx;EPA;Établissement public à caractère administratif;;;;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0250082D;École nationale supérieure de mécanique et des microtechniques;ENSMM Besançon;Écoles nationales supérieures d'ingénieurs;Public;http://www.ens2m.fr/;47.251, 5.99399;http://www.wikidata.org/entity/Q3578235;;;"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=9F6183426F68F6E802BCEC824495876F.tpdila09v_3?cidTexte=JORFTEXT000031402219&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031402159";Franche-Comté>Doubs>Besançon;25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R43;Franche-Comté;;26 CHEMIN DE L'EPITAPHE;;;25030;BESANCON CEDEX;;0381402700;19250082500026;FR0021;http://www.freebase.com/m/026gck7;EPA;Établissement public à caractère administratif;;;;https://twitter.com/ENSMMOfficiel;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0141720U;École nationale supérieure d'ingénieurs de Caen;ENSI Caen;Écoles nationales supérieures d'ingénieurs;Public;http://www.ensicaen.fr/;49.2118, -0.367419;http://www.wikidata.org/entity/Q3578208;;;"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=4CDB3AA29A7C409BB10ADEC6C3F60536.tpdila11v_2?cidTexte=JORFTEXT000031056872&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031056523";Basse-Normandie>Calvados>Caen;14118;Caen;UU14601;Caen;D014;Calvados;A05;Caen;R25;Basse-Normandie;;6 BOULEVARD MARECHAL JUIN;;0;14050;CAEN CEDEX;;0231452750;19141720300012;FR0010;http://www.freebase.com/m/0406dwm;EPA;Établissement public à caractère administratif;;;https://www.facebook.com/Ensicaen;;;http://www.ensicaen.fr/adminsite/webservices/export_rss.jsp?NOMBRE=10;;;;;;;;;;https://www.youtube.com/channel/UCMcgCt5ivQK4Tss5KeweGKQ;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;Université de Caen Basse-Normandie;0141408E
0753742K;École des hautes études en sciences sociales;EHESS;Grand établissement;Public;http://www.ehess.fr/;48.8362, 2.37173;http://www.wikidata.org/entity/Q273518;;;;Île-de-France>Paris>Paris>Paris 13e;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;190 AVENUE AVENUE DE FRANCE;;;75013;PARIS;;0149542525;19753742600011;FR0208;http://www.freebase.com/m/069y1l;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/ehess.fr?_rdr;https://twitter.com/EHESS_fr;;http://actualites.ehess.fr/atom.php?cat=257;https://www.linkedin.com/edu/school?id=21251&trk=edu-cp-title;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0753488J;Institut national des langues et civilisations orientales;INALCO;Grand établissement;Public;http://www.inalco.fr/;48.8274, 2.37608;http://www.wikidata.org/entity/Q1430113;;;;Île-de-France>Paris>Paris>Paris 13e;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;65 RUE DES GRANDS MOULINS;;;75214;PARIS CEDEX 13;;0181701000;19753488600092;FR0197;http://www.freebase.com/m/07mnd9;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/inalco.languesO;https://twitter.com/Inalco_Officiel;;http://www.inalco.fr/rss.xml;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0442674T;École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique;ONIRIS;Grand établissement relevant d'un autre département ministériel;Public;http://www.oniris-nantes.fr/;47.2803, -1.51515;http://www.wikidata.org/entity/Q3578268;;;;Pays de la Loire>Loire-Atlantique>Nantes;44109;Nantes;UU44701;Nantes;D044;Loire-Atlantique;A17;Nantes;R52;Pays de la Loire;ATLANPOLE LA CHANTRERIE;ROUTE DE GACHET;;40706;44307;NANTES CEDEX 3;;0240687777;;;http://www.freebase.com/m/0_gy5qs;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);;;;
0755754X;Groupe des écoles nationales d'économie et statistique;GENES;Grand établissement relevant d'un autre département ministériel;Public;;48.8243094, 2.3026;http://www.wikidata.org/entity/Q3117819;;;;Île-de-France>Paris>Paris>Paris 14e;75114;Paris 14e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;18, Boulevard Adolphe Pinard;;;75574;PARIS Cedex 14;;01 41 17 64 79;;;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;;;;
0755661W;Institut Mines-Télécom;IMT;Grand établissement relevant d'un autre département ministériel;Public;http://www.mines-telecom.fr/;48.8265, 2.34648;http://www.wikidata.org/entity/Q7885718;;;;Île-de-France>Paris>Paris>Paris 13e;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;46 RUE BARRAULT;;;75634;PARIS CEDEX 13;;;;;http://www.freebase.com/m/03h23x3;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/mines.telecom;https://twitter.com/Mines_Telecom;;http://www.mines-telecom.fr/feed/;;;;;;;;;;https://www.youtube.com/user/MinesTelecom1;https://plus.google.com/111525064771175271294;http://mines-telecom.tv/accueil;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;;;;
0760165S;Institut national des sciences appliquées de Rouen;INSA Rouen;Instituts et écoles extérieurs aux universités;Public;https://www.insa-rouen.fr/;49.3858, 1.06927;http://www.wikidata.org/entity/Q1665112;;;Abrogé;Haute-Normandie>Seine-Maritime>Saint-Étienne-du-Rouvray;76575;Saint-Étienne-du-Rouvray;UU00755;Rouen;D076;Seine-Maritime;A21;Rouen;R23;Haute-Normandie;;AVENUE DE L'UNIVERSITE;;;76801;ST ETIENNE ROUVRAY CEDEX;;0232959700;19760165100015;FR0217;http://www.freebase.com/m/027js7l;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/insaderouen;https://twitter.com/insarouen;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0932560C;Campus Condorcet;;Pôle de recherche et d'enseignement supérieur;Public;http://www.campus-condorcet.fr/;48.9123484, 2.362144;http://www.wikidata.org/entity/Q2935605;;;;Île-de-France>Créteil>Seine-Saint-Denis>Saint-Denis;93066;Saint-Denis;UU00851;Paris;D093;Seine-Saint-Denis;A24;Créteil;R11;Île-de-France;c/o Maison Sciences l’homme;4, rue de la Croix-Faron;;;93210;Saint-Denis La Plaine;;01 55 93 93 34;;;;EPCS;Établissement public de coopération scientifique;;;https://fr-fr.facebook.com/pages/Campus-Condorcet-Paris-Aubervilliers/122483757854235;https://twitter.com/CampusCondorcet;;http://www.campus-condorcet.fr/tools/generateXML.php?modele=rss_news2.xml&output=stdout;;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;;;;;;
0755802Z;Consortium national pour l'agriculture, l'alimentation, la santé animale et l'environnement;AGREENIUM;Pôle de recherche et d'enseignement supérieur;Public;http://www.agreenium.org/;48.8610223, 2.3063612;http://www.wikidata.org/entity/Q2994756;;;;Île-de-France>Paris>Paris>Paris 7e;75107;Paris 7e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;147 rue de l'université;;CS 30735;75345;PARIS CEDEX 07;;01 42 75 90 00;;;;EPCS;Établissement public de coopération scientifique;;;;;;http://www.agreenium.org/rss/feed/actualit%C3%A9s;;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;;;;;;
0755282J;ParisTech;;Pôle de recherche et d'enseignement supérieur;Public;http://www.paristech.fr/;48.8328, 2.35787;http://www.wikidata.org/entity/Q1344278;;;;Île-de-France>Paris>Paris>Paris 13e;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;12 RUE EDOUARD MANET;;;75013;PARIS CEDEX 07;;0144582432;;;http://www.freebase.com/m/02q9xtt;EPCS;Établissement public de coopération scientifique;;;;https://twitter.com/ParisTech_News;;http://www.paristech.fr/index.php/fre/rss/feed/news;;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;;;;;;
0561718N;Université de Bretagne-Sud;UBS;Université;Public;http://www.univ-ubs.fr/;47.7461, -3.39083;http://www.wikidata.org/entity/Q1125958;;;;Bretagne>Morbihan>Lorient;56121;Lorient;UU56601;Lorient;D056;Morbihan;A14;Rennes;R53;Bretagne;;27 RUE ARMAND GUILLEMOT;;92116;56321;LORIENT CEDEX;;;19561718800600;FR0108;http://www.freebase.com/m/03cp9h_;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Universit%C3%A9-de-Bretagne-Sud/27514648#!/pages/Universit%C3%A9-de-Bretagne-Sud/27514648;https://twitter.com/ubs_jpo;;http://www.univ-ubs.fr/les-flux-rss-de-l-universite-18896.kjsp?RH=UBS_FR;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0681166Y;Université de Haute-Alsace;UHA;Université;Public;http://www.uha.fr/;47.7323, 7.31485;http://www.wikidata.org/entity/Q280183;;;;Alsace>Haut-Rhin>Mulhouse;68224;Mulhouse;UU68701;Mulhouse;D068;Haut-Rhin;A15;Strasbourg;R42;Alsace;;2 RUE DES FRERES LUMIERE;;;68093;MULHOUSE CEDEX;;0389336000;19681166500013;FR0150;http://www.freebase.com/m/03czv97;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UHA68;https://twitter.com/UHA68;;;;;;;;;;;;;https://plus.google.com/u//1843824938262641165/posts;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0301687W;Université de Nîmes;UNÎMES;Université;Public;http://www.unimes.fr/;43.8429, 4.35671;http://www.wikidata.org/entity/Q2496121;;;"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=3976DDB631865D070704985BB39F3EC7.tpdjo05v_1?cidTexte=JORFTEXT000025790064&categorieLien=id";Languedoc-Roussillon>Gard>Nîmes;30189;Nîmes;UU30601;Nîmes;D030;Gard;A11;Montpellier;R91;Languedoc-Roussillon;SITE VAUBAN;RUE DU DOCTEUR GEORGES SALAN;;;30021;NIMES CEDEX 1;;;13000375900011;FR0030;http://www.freebase.com/m/03cm0_3;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/unimesfr;https://twitter.com/unimesfr;;http://www.unimes.fr/_plugins/web/zoneItem/fd1178-e8c1-457-a939-85d1a4f8cf31/rss.xml;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0660437S;Université de Perpignan - Via Domitia;;Université;Public;http://www.univ-perp.fr/;42.6844, 2.89854;http://www.wikidata.org/entity/Q304872;;;;Languedoc-Roussillon>Pyrénées-Orientales>Perpignan;66136;Perpignan;UU66601;Perpignan;D066;Pyrénées-Orientales;A11;Montpellier;R91;Languedoc-Roussillon;;52 AVENUE PAUL ALDUY;;;66860;PERPIGNAN CEDEX 9;;0468662000;19660437500010;FR0144;http://www.freebase.com/m/03cm9gx;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UPVD66;https://twitter.com/upvd1;;;;;http://plus.franceculture.fr/partenaires/perpignan-domitia-universite;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0860856N;Université de Poitiers;;Université;Public;http://www.univ-poitiers.fr/;46.5861, 0.346654;http://www.wikidata.org/entity/Q661056;;;;Poitou-Charentes>Vienne>Poitiers;86194;Poitiers;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R54;Poitou-Charentes;;15 RUE DE L'HOTEL DIEU;;;86034;POITIERS CEDEX;;0549453000;19860856400375;FR0239;http://www.freebase.com/m/02mhlh;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/universitedepoitiers;https://twitter.com/UnivPoitiers;;http://www.univ-poitiers.fr/flux-rss-727821.kjsp;;http://www.pinterest.com/univpoitiers/;;;;;;;;https://www.youtube.com/user/UniversitePoitiers;https://plus.google.com/14559162876535225/posts;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
9710585J;Université des Antilles;;Université;Public;http://www.univ-ag.fr/;16.2221, -61.5362;http://www.wikidata.org/entity/Q829169;;;;Guadeloupe>Pointe-à-Pitre;97120;Pointe-à-Pitre;UU9A701;Pointe-à-Pitre - Les Abymes;D971;Guadeloupe;A32;Guadeloupe;R01;Guadeloupe;;;CAMPUS DE FOUILLOLE;250;97157;POINTE A PITRE CEDEX;;0590483030;19971585500011;FR0282;http://www.freebase.com/m/03c3rh5;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;https://twitter.com/UnivAntilles;;http://www.univ-ag.fr/fr/rss.xml;;http://www.pinterest.com/uantillesguyane/;;https://fr.scribd.com/UniversiteAntilles;;;;;;https://www.youtube.com/user/UnivAntillesGuyaneTV;https://plus.google.com/111372496716352018171/about;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0762762P;Université du Havre;;Université;Public;http://www.univ-lehavre.fr/;49.4959, 0.129114;http://www.wikidata.org/entity/Q1784954;;;;Haute-Normandie>Seine-Maritime>Le Havre;76351;Le Havre;UU76701;Le Havre;D076;Seine-Maritime;A21;Rouen;R23;Haute-Normandie;;25 RUE PHILIPPE LEBON;;1123;76063;LE HAVRE CEDEX;;0235195500;19762762300097;FR0220;http://www.freebase.com/m/03cpff1;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univ.lehavre;;;http://www.univ-lehavre.fr/ulh_services/spip.php?page=backend;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0720916E;Université du Maine;;Université;Public;http://www.univ-lemans.fr/;48.0148, 0.159251;http://www.wikidata.org/entity/Q834825;;;;Pays de la Loire>Sarthe>Le Mans;72181;Le Mans;UU72701;Le Mans;D072;Sarthe;A17;Nantes;R52;Pays de la Loire;;AVENUE OLIVIER MESSIAEN;;535;72017;LE MANS CEDEX 1;;0243833000;19720916600010;FR0169;http://www.freebase.com/m/03ckrsn;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Universit%C3%A9-du-Maine/19321575362?ref=ts&fref=ts&rf=1218219831277;https://twitter.com/Universite_Mans;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0593559Y;Université Lille 1 - Sciences technologies;;Université;Public;http://www.univ-lille1.fr/;50.6092, 3.14122;http://www.wikidata.org/entity/Q500740;;;;Nord-Pas-de-Calais>Nord>Villeneuve-d'Ascq;59009;Villeneuve-d'Ascq;UU59702;Lille;D059;Nord;A09;Lille;R31;Nord-Pas-de-Calais;;CITE SCIENTIFIQUE;;;59655;VILLENEUVE D'ASCQ CEDEX;;0320434343;19593559800019;FR0123;http://www.freebase.com/m/06jfg5;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univlille1;https://twitter.com/Univ_Lille1;;http://www.univ-lille1.fr/Accueil/RSS/;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0593560Z;Université Lille 2 - Droit et Santé;;Université;Public;http://www.univ-lille2.fr/;50.6314, 3.07497;http://www.wikidata.org/entity/Q11509930;;;;Nord-Pas-de-Calais>Nord>Lille;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R31;Nord-Pas-de-Calais;;42 RUE PAUL DUEZ;;;59800;LILLE;;0320964343;19593560600010;FR0124;http://www.freebase.com/m/07k111;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/universitelille2droitetsante;https://twitter.com/univ_lille2;;http://www.univ-lille2.fr/filsrss.html;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0691775E;Université Lumière - Lyon 2;;Université;Public;http://www.univ-lyon2.fr/;45.7492, 4.83714;http://www.wikidata.org/entity/Q4041;;;;Rhône-Alpes>Lyon>Rhône>Lyon 7e;69387;Lyon 7e;UU00758;Lyon;D069;Rhône;A10;Lyon;R82;Rhône-Alpes;;86 RUE PASTEUR;;;69365;LYON CEDEX 07;;0478697152;19691775100014;FR0158;http://www.freebase.com/m/03c4c_p;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/Universite.Lumiere.Lyon2?ref=ts;https://twitter.com/univ_lyon2;http://www.flickr.com/photos/lyon2/;;;http://www.pinterest.com/univlyon2/;;;;;;;;http://www.youtube.com/user/UnivLyon2;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0751718K;Université Panthéon-Assas;;Université;Public;http://www.u-paris2.fr/;48.8468, 2.34488;http://www.wikidata.org/entity/Q662976;;;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;12 PLACE DU PANTHEON;;;75231;PARIS CEDEX 05;;0144415700;19751718800011;FR0175;http://www.freebase.com/m/04my63;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Universit%C3%A9-Paris-II-Panth%C3%A9on-Assas/186728765857;https://twitter.com/AssasTwits;;;;;;;;;;;;https://www.youtube.com/user/UniversiteAssas;;;http://www.agorassas.fr/;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0751717J;Université Paris 1 - Panthéon Sorbonne;;Université;Public;http://www.univ-paris1.fr/;48.8468, 2.34488;http://www.wikidata.org/entity/Q999763;;;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;12 PLACE DU PANTHEON;;;75231;PARIS CEDEX 05;;0144078000;19751717000019;FR0174;http://www.freebase.com/m/086hxz;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UnivParis1PantheonSorbonne;https://twitter.com/SorbonneParis1;;http://www.univ-paris1.fr/index.php?id=51784;http://www.linkedin.com/edu/school?id=12544;;;;;;;;;http://www.youtube.com/user/UnivParis1;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0931238R;Université Paris 13 - Paris Nord;;Université;Public;http://www.univ-paris13.fr/;48.9571, 2.33972;http://www.wikidata.org/entity/Q1780212;;;;Île-de-France>Créteil>Seine-Saint-Denis>Villetaneuse;93079;Villetaneuse;UU00851;Paris;D093;Seine-Saint-Denis;A24;Créteil;R11;Île-de-France;;AVENUE JEAN BAPTISTE CLEMENT;;;93430;VILLETANEUSE;;0149403000;19931238000017;FR0262;http://www.freebase.com/m/027nkpg;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univparis13;https://twitter.com/univ_paris13;;;;;http://plus.franceculture.fr/partenaires/paris-13;;;;;http://www.dailymotion.com/CommunicationP13#video=x18idtq;;http://www.youtube.com/user/Univparis13;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0921204J;Université Paris Ouest Nanterre La Défense;;Université;Public;http://www.u-paris10.fr/;48.9035, 2.21448;http://www.wikidata.org/entity/Q1394262;;;;Île-de-France>Versailles>Hauts-de-Seine>Nanterre;92050;Nanterre;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;;200 AVENUE DE LA REPUBLIQUE;;;92001;NANTERRE CEDEX;;0140977200;19921204400218;FR0255;http://www.freebase.com/m/0794hx;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/universite.paris.ouest;https://twitter.com/ParisOuest;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
